date,zone,geo_risk_index,top_drivers,geo_risk_raw,geo_risk_norm,n_events,n_unique_event_ids,total_news_volume,geo_risk_ewm_7,geo_risk_ewm_14,geo_risk_ewm_30,geo_risk_roll_14,geo_risk_roll_30
2021-01-01 00:00:00+00:00,CHF,100.0,"[""conflict|other|"", ""military|act|"", ""terrorism|act|""]",12.313400005441508,0.03310053764903631,8.0,4.0,372,100.0,100.0,100.0,,
2021-01-01 00:00:00+00:00,EUR,100.0,"[""conflict|other|"", ""terrorism|act|"", ""military|act|"", ""conflict|act|"", ""sanctions|act|""]",138.2855024385074,0.37173522160889083,104.0,13.0,372,100.0,100.0,100.0,,
2021-01-01 00:00:00+00:00,GBP,99.99999999999999,"[""conflict|other|"", ""military|act|"", ""sanctions|act|""]",88.49813492109475,0.2378982121534805,79.0,8.0,372,99.99999999999999,99.99999999999999,99.99999999999999,,
2021-01-01 00:00:00+00:00,JPY,100.0,"[""conflict|other|"", ""military|act|""]",73.44646968433167,0.19743674646325718,72.0,4.0,372,100.0,100.0,100.0,,
2021-01-01 00:00:00+00:00,USD,100.00000000000001,"[""conflict|other|"", ""terrorism|act|"", ""military|act|"", ""sanctions|act|"", ""conflict|act|""]",150.19727687341452,0.4037561206274584,109.0,14.0,372,100.00000000000001,100.00000000000001,100.00000000000001,,
2021-01-02 00:00:00+00:00,CHF,153.31745124090585,"[""conflict|other|"", ""military|act|""]",14.395303646996616,0.16546326031030595,12.0,3.0,87,199.97022107669846,153.31745124090585,125.79876672947059,,
2021-01-02 00:00:00+00:00,EUR,102.49199911124686,"[""conflict|other|"", ""terrorism|act|"", ""conflict|act|"", ""military|act|"", ""military|threat|""]",38.385488348165524,0.441212509749029,27.0,8.0,87,104.67249833358785,102.49199911124686,101.20580602157108,,
2021-01-02 00:00:00+00:00,GBP,97.23172787975336,"[""conflict|other|"", ""terrorism|act|"", ""military|act|"", ""military|threat|""]",16.3999948596023,0.18850568804140577,11.0,6.0,87,94.80948977453757,97.23172787975336,98.66051349020324,,
2021-01-02 00:00:00+00:00,JPY,91.5640314709165,"[""conflict|other|"", ""military|act|""]",6.3091515200957655,0.0725189829896065,5.0,3.0,87,84.18255900796844,91.5640314709165,95.91807974399187,,
2021-01-02 00:00:00+00:00,USD,105.62601273365071,"[""conflict|other|"", ""terrorism|act|"", ""military|act|"", ""conflict|act|"", ""military|threat|""]",49.94856191509403,0.5741214013229199,32.0,11.0,87,110.54877387559506,105.62601273365071,102.72226422596003,,
2021-01-03 00:00:00+00:00,CHF,143.21553869475215,"[""conflict|other|"", ""sanctions|act|""]",7.391634959140792,0.07699619749104993,6.0,4.0,96,169.36594259371213,143.21553869475215,122.68614353045656,0.27555999545039217,
2021-01-03 00:00:00+00:00,EUR,103.62850438107343,"[""conflict|other|"", ""military|act|"", ""terrorism|act|"", ""sanctions|act|""]",43.32001608753111,0.45125016757844905,29.0,12.0,96,106.25832090892743,103.62850438107343,101.83870812565979,1.264197898936369,
2021-01-03 00:00:00+00:00,GBP,95.86371191048066,"[""conflict|other|"", ""military|act|""]",17.800815794118677,0.18542516452206956,15.0,8.0,96,92.8500193584552,95.86371191048066,97.90639056246162,0.6118290647169559,
2021-01-03 00:00:00+00:00,JPY,85.8711643586994,"[""conflict|other|"", ""sanctions|act|""]",6.332193217296153,0.06596034601350159,5.0,4.0,96,75.35380128829837,85.8711643586994,92.88256028497874,0.33591607546636526,
2021-01-03 00:00:00+00:00,USD,109.2365501291989,"[""conflict|other|"", ""military|act|"", ""terrorism|act|"", ""sanctions|act|""]",62.28925382159534,0.6488463939749515,41.0,16.0,96,116.08784120676184,109.2365501291989,104.65663706301179,1.62672391592533,
2021-01-04 00:00:00+00:00,CHF,139.5281934410503,"[""conflict|other|"", ""conflict|act|"", ""conflict|threat|"", ""sanctions|act|"", ""military|act|""]",23.458293169110547,0.1061461229371518,16.0,10.0,221,155.91456926828116,139.5281934410503,122.22642132152313,0.381706118387544,
2021-01-04 00:00:00+00:00,EUR,105.41286051028638,"[""conflict|other|"", ""conflict|act|"", ""military|act|"", ""terrorism|act|"", ""sanctions|act|""]",108.97162442859029,0.49308427343253525,66.0,31.0,221,108.9465345192382,105.41286051028638,102.81757697885404,1.757282172368904,
2021-01-04 00:00:00+00:00,GBP,106.03613704620749,"[""conflict|other|"", ""conflict|act|"", ""military|act|"", ""terrorism|act|"", ""conflict|threat|""]",77.59353859195718,0.3511019845789918,46.0,20.0,221,112.67673962594935,106.03613704620749,102.69674603768551,0.9629310492959476,
2021-01-04 00:00:00+00:00,JPY,83.27524634676827,"[""conflict|other|"", ""military|act|"", ""terrorism|act|""]",16.431663154126145,0.07435141698699613,12.0,7.0,221,73.11579578352774,83.27524634676827,91.17412280009081,0.4102674924533614,
2021-01-04 00:00:00+00:00,USD,108.7693179531907,"[""conflict|other|"", ""conflict|act|"", ""terrorism|act|"", ""military|act|"", ""sanctions|act|""]",126.70465956369182,0.57332425141942,81.0,34.0,221,113.49895810735569,108.7693179531907,104.72603524018118,2.20004816734475,
2021-01-05 00:00:00+00:00,CHF,136.72524184322384,"[""conflict|other|"", ""military|act|"", ""conflict|threat|"", ""military|other|""]",34.49129619701009,0.11308621703937734,28.0,9.0,305,146.56244106554882,136.72524184322384,121.98639778189919,0.4947923354269213,0.4947923354269213
2021-01-05 00:00:00+00:00,EUR,106.87024257339912,"[""conflict|other|"", ""military|act|"", ""conflict|act|"", ""sanctions|act|"", ""terrorism|act|""]",155.89150613390373,0.5111196922423074,102.0,30.0,305,110.79570738533661,106.87024257339912,103.69019949529131,2.2684018646112114,2.2684018646112114
2021-01-05 00:00:00+00:00,GBP,102.06301258008482,"[""conflict|other|"", ""military|act|"", ""terrorism|act|"", ""conflict|threat|"", ""sanctions|act|""]",55.976384555138644,0.18352912968897916,41.0,17.0,305,103.56698060703387,102.06301258008482,100.98971103849856,1.1464601789849267,1.1464601789849267
2021-01-05 00:00:00+00:00,JPY,81.55621528334048,"[""conflict|other|"", ""sanctions|act|"", ""military|act|"", ""conflict|threat|""]",22.017688670898785,0.07218914318327471,17.0,6.0,305,72.43247518041076,81.55621528334048,89.83272864337914,0.4824566356366361,0.4824566356366361
2021-01-05 00:00:00+00:00,USD,108.15085827777804,"[""conflict|other|"", ""military|act|"", ""conflict|act|"", ""terrorism|act|"", ""sanctions|act|""]",174.68335955218586,0.5727323264006093,117.0,35.0,305,111.1569361774157,108.15085827777804,104.6876375077563,2.7727804937453593,2.7727804937453593
2021-01-06 00:00:00+00:00,CHF,125.34705470624029,"[""conflict|threat|"", ""conflict|other|"", ""military|act|""]",8.848527557160704,0.050853606650348875,6.0,4.0,174,122.76904037812339,125.34705470624029,117.43171652602487,0.5456459420772702,0.5456459420772702
2021-01-06 00:00:00+00:00,EUR,108.62640996713209,"[""conflict|act|"", ""conflict|other|"", ""conflict|threat|"", ""military|act|""]",94.76122056792256,0.544604715907601,58.0,20.0,174,113.10715504560153,108.62640996713209,104.74512198116906,2.8130065805188122,2.8130065805188122
2021-01-06 00:00:00+00:00,GBP,101.2238453265849,"[""military|act|"", ""conflict|other|"", ""conflict|act|"", ""conflict|threat|""]",38.20888302379055,0.21959128174592268,23.0,11.0,174,101.61754999998426,101.2238453265849,100.65290762819771,1.3660514607308496,1.3660514607308496
2021-01-06 00:00:00+00:00,JPY,97.12812951637757,"[""conflict|act|"", ""conflict|other|"", ""conflict|threat|"", ""military|act|""]",33.30121180669404,0.1913862747511152,20.0,7.0,174,103.91074939308774,97.12812951637757,96.83355724903976,0.6738429103877512,0.6738429103877512
2021-01-06 00:00:00+00:00,USD,108.93065492882019,"[""conflict|act|"", ""conflict|other|"", ""conflict|threat|"", ""military|act|""]",110.00110429611057,0.632190254575348,67.0,25.0,174,111.86753542321033,108.93065492882019,105.28839206600392,3.4049707483207072,3.4049707483207072
2021-01-07 00:00:00+00:00,CHF,123.71825582633274,"[""conflict|other|"", ""military|act|""]",21.39956190915778,0.10288250917864317,19.0,10.0,208,120.35954606032594,123.71825582633274,117.15425501511577,0.6485284512559133,0.6485284512559133
2021-01-07 00:00:00+00:00,EUR,107.50858967474284,"[""conflict|other|"", ""terrorism|act|"", ""military|act|"", ""conflict|threat|"", ""conflict|act|""]",97.75429291964741,0.4699725621136895,70.0,28.0,208,109.89105572775432,107.50858967474284,104.45464687104285,3.282979142632502,3.282979142632502
2021-01-07 00:00:00+00:00,GBP,94.83508516335709,"[""conflict|other|"", ""military|act|"", ""sanctions|act|"", ""conflict|threat|""]",25.24484494823264,0.12136944686650307,19.0,12.0,208,89.54019852558228,94.83508516335709,97.59840675556408,1.4874209075973526,1.4874209075973526
2021-01-07 00:00:00+00:00,JPY,97.38198525326592,"[""conflict|other|"", ""military|act|"", ""conflict|threat|""]",23.133774954527613,0.11122007189676737,20.0,11.0,208,102.69107393057588,97.38198525326592,96.97539533252366,0.7850629822845187,0.7850629822845187
2021-01-07 00:00:00+00:00,USD,106.89020308082581,"[""conflict|other|"", ""terrorism|act|"", ""military|act|"", ""conflict|threat|"", ""conflict|act|""]",110.51667543270159,0.5313301703495269,80.0,34.0,208,107.30746808462334,106.89020308082581,104.53606135651093,3.9363009186702342,3.9363009186702342
2021-01-08 00:00:00+00:00,CHF,124.7792408476966,"[""conflict|other|"", ""conflict|threat|"", ""conflict|act|"", ""sanctions|act|"", ""sanctions|other|""]",21.95881743560545,0.12199343019780806,17.0,11.0,180,123.18857041688487,124.7792408476966,118.09111878746712,0.7705218814537214,0.7705218814537214
2021-01-08 00:00:00+00:00,EUR,106.57697350408188,"[""conflict|other|"", ""terrorism|act|"", ""military|act|"", ""conflict|threat|"", ""sanctions|act|""]",84.85968448976753,0.4714426916098196,56.0,25.0,180,107.54865889451217,106.57697350408188,104.20089342096176,3.7544218342423212,3.7544218342423212
2021-01-08 00:00:00+00:00,GBP,92.93757222636083,"[""conflict|other|"", ""conflict|threat|"", ""sanctions|act|"", ""military|act|""]",30.82929051441024,0.17127383619116798,22.0,11.0,180,87.30608342815799,92.93757222636083,96.50197652203641,1.6586947437885207,1.6586947437885207
2021-01-08 00:00:00+00:00,JPY,96.26766679439075,"[""conflict|other|"", ""conflict|threat|"", ""conflict|act|"", ""sanctions|other|""]",17.97169254934415,0.09984273638524528,15.0,8.0,180,99.27445465085742,96.26766679439075,96.46244058924486,0.884905718669764,0.884905718669764
2021-01-08 00:00:00+00:00,USD,105.82326311571575,"[""conflict|other|"", ""terrorism|act|"", ""military|act|"", ""conflict|threat|"", ""sanctions|act|""]",100.0937645608338,0.55607646978241,70.0,28.0,180,105.20263939909259,105.82326311571575,104.1716801943167,4.492377388452644,4.492377388452644
2021-01-09 00:00:00+00:00,CHF,129.1836176895305,"[""military|act|"", ""conflict|other|"", ""terrorism|act|""]",10.487797390585765,0.15199706363167775,6.0,5.0,69,131.84444460302637,129.1836176895305,120.65376061804673,0.9225189450853992,0.9225189450853992
2021-01-09 00:00:00+00:00,EUR,107.55978192060502,"[""military|act|"", ""conflict|other|"", ""terrorism|act|"", ""sanctions|act|"", ""conflict|threat|""]",36.89852596410084,0.534761245856534,23.0,13.0,69,109.14850332788546,107.55978192060502,104.82974136980329,4.289183080098855,4.289183080098855
2021-01-09 00:00:00+00:00,GBP,89.20255699754824,"[""conflict|other|"", ""military|act|""]",9.28832171858754,0.13461335824039913,8.0,6.0,69,81.7108020736851,89.20255699754824,94.46474952127707,1.7933081020289197,1.7933081020289197
