timestamp_utc,open,high,low,close,volume,pair,timeframe,source,ingested_at_utc
2025-04-18 01:00:00+00:00,1.3262,1.32701,1.32557,1.32589,3188,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 02:00:00+00:00,1.32588,1.32679,1.32556,1.32671,3454,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 03:00:00+00:00,1.32671,1.32831,1.32661,1.32799,6909,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 04:00:00+00:00,1.32796,1.3283800000000001,1.32679,1.3268499999999999,10682,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 05:00:00+00:00,1.32682,1.32752,1.32643,1.32711,11999,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 06:00:00+00:00,1.32709,1.32751,1.3262399999999999,1.32676,9426,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 07:00:00+00:00,1.3268900000000001,1.32699,1.32641,1.32677,9357,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 08:00:00+00:00,1.32675,1.32724,1.32653,1.32677,7968,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 09:00:00+00:00,1.32674,1.32706,1.32645,1.32657,7973,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 10:00:00+00:00,1.3266,1.3278400000000001,1.32635,1.32648,6772,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 11:00:00+00:00,1.32644,1.32721,1.3256999999999999,1.32715,7730,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 12:00:00+00:00,1.32715,1.32731,1.32677,1.32703,6759,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 13:00:00+00:00,1.32703,1.32747,1.32654,1.32745,6647,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 14:00:00+00:00,1.3275000000000001,1.32794,1.32707,1.32741,5869,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 15:00:00+00:00,1.32733,1.32799,1.32712,1.32762,5748,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 16:00:00+00:00,1.32756,1.32776,1.3271,1.32736,5878,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 17:00:00+00:00,1.32736,1.32849,1.32733,1.32817,6862,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 18:00:00+00:00,1.32816,1.32816,1.32713,1.32755,6152,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 19:00:00+00:00,1.32755,1.32832,1.32739,1.32829,6629,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 20:00:00+00:00,1.32826,1.32832,1.32783,1.32803,3262,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 21:00:00+00:00,1.32803,1.3284500000000001,1.3279,1.32844,5821,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 22:00:00+00:00,1.32844,1.32918,1.32831,1.3288,4156,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-18 23:00:00+00:00,1.3287900000000001,1.32974,1.3284,1.3290199999999999,2726,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 00:00:00+00:00,1.3272,1.32924,1.32676,1.3277999999999999,332,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 01:00:00+00:00,1.32766,1.33038,1.32751,1.33034,3557,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 02:00:00+00:00,1.33035,1.3319,1.33008,1.33136,2961,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 03:00:00+00:00,1.33136,1.33549,1.33136,1.33454,4212,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 04:00:00+00:00,1.33454,1.33583,1.33418,1.33511,3134,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 05:00:00+00:00,1.33511,1.33771,1.33473,1.33693,3881,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 06:00:00+00:00,1.33693,1.33859,1.33693,1.33808,2727,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 07:00:00+00:00,1.33808,1.33826,1.33658,1.33823,2442,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 08:00:00+00:00,1.33823,1.33949,1.33807,1.33929,3206,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 09:00:00+00:00,1.33929,1.33961,1.3371,1.33809,3846,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 10:00:00+00:00,1.33808,1.34135,1.33757,1.3410199999999999,4510,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 11:00:00+00:00,1.34103,1.34154,1.3394599999999999,1.34137,4324,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 12:00:00+00:00,1.3413599999999999,1.3421,1.33995,1.34001,3844,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 13:00:00+00:00,1.34002,1.34039,1.33853,1.33891,3540,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 14:00:00+00:00,1.33891,1.33985,1.33784,1.33954,4353,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 15:00:00+00:00,1.33954,1.34033,1.33804,1.3403,4667,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 16:00:00+00:00,1.34029,1.34082,1.33854,1.3400400000000001,4800,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 17:00:00+00:00,1.3400400000000001,1.34063,1.3385099999999999,1.33896,4851,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 18:00:00+00:00,1.33894,1.33924,1.33771,1.33802,3918,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 19:00:00+00:00,1.33801,1.3382100000000001,1.33745,1.33781,3032,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
2025-04-21 20:00:00+00:00,1.33781,1.33782,1.33619,1.33751,2553,GBPUSD,H1,MT5,2026-02-08 11:53:15.584198+00:00
